period,regional,total_target_visiting_gm,witel,total_am,total_target_visiting_am,total_hotd,total_visiting_am,total_visiting_hotd,total_target_visiting_hotd,ach_visiting_gm,ach_visiting_team,is_achieved,ach_visiting_witel,nik_gm
2025-04,REG-3,5,JATIM TIMUR,10,160,9,104,0,45,0,51,False,30,720347
2025-04,REG-5,5,SUMALUT,4,64,11,0,2,55,40,2,False,17,720327
2025-04,REG-3,5,JATIM BARAT,11,176,12,37,5,60,0,18,False,11,730396
2025-04,REG-1,5,LAMPUNG BENGKULU,4,64,8,18,0,40,0,17,False,10,730187
2025-04,REG-3,5,BALI,7,112,8,24,1,40,0,16,False,10,730264
2025-04,REG-3,5,SEMARANG JATENG UTARA,12,192,9,30,0,45,0,13,False,8,710399
2025-04,REG-2,5,BANDUNG,15,240,4,16,6,20,0,8,False,5,730502
2025-04,REG-5,5,PAPUA,2,32,6,0,5,30,0,8,False,5,710469
2025-04,REG-5,5,PAPUA BARAT,4,64,5,3,4,25,0,8,False,5,720333
2025-04,REG-2,5,JAKARTA CENTRUM,13,208,6,15,0,30,0,6,False,4,700645
2025-04,REG-1,5,SUMUT,7,112,8,6,0,40,0,4,False,2,720441
2025-04,REG-3,5,YOGYA JATENG SELATAN,12,192,13,3,5,65,0,3,False,2,730461
2025-04,REG-1,5,ACEH,3,48,6,1,0,30,0,1,False,1,790042
2025-04,REG-1,5,SUMBAGSEL,5,80,6,1,0,30,0,1,False,1,730073
2025-04,REG-1,5,SUMBAR JAMBI,4,64,8,1,0,40,0,1,False,1,750049
2025-04,REG-2,5,BANTEN,12,192,6,0,2,30,0,1,False,1,710462
2025-04,REG-2,5,JAKARTA OUTER,16,256,6,5,0,30,0,2,False,1,720092
2025-04,REG-2,5,PRIANGAN BARAT,11,176,7,2,0,35,0,1,False,1,720470
2025-04,REG-3,5,NUSA TENGGARA,7,112,10,0,2,50,0,1,False,1,750027
2025-04,REG-3,5,SOLO JATENG TIMUR,8,128,10,3,0,50,0,2,False,1,740160
2025-04,REG-4,5,KALBAR,5,80,5,1,0,25,0,1,False,1,710515
2025-04,REG-4,5,KALSELTENG,9,144,11,1,3,55,0,2,False,1,720412
2025-04,REG-1,5,RIAU,6,96,9,0,0,45,0,0,False,0,720138
2025-04,REG-2,5,BEKASI KARAWANG,9,144,6,0,0,30,0,0,False,0,720131
2025-04,REG-2,5,JAKARTA INNER,7,112,4,0,0,20,0,0,False,0,730049
2025-04,REG-2,5,PRIANGAN TIMUR,9,144,6,0,0,30,0,0,False,0,740074
2025-04,REG-3,5,SURAMADU,14,224,8,0,0,40,0,0,False,0,730527
2025-04,REG-4,5,BALIKPAPAN,3,48,2,0,0,10,0,0,False,0,720428
2025-04,REG-4,5,KALTIMTARA,9,144,8,1,0,40,0,1,False,0,700653
2025-04,REG-5,5,SULBAGSEL,6,96,15,1,0,75,0,1,False,0,730345
2025-04,REG-5,5,SULBAGTENG,4,64,7,0,0,35,0,0,False,0,730183
